PART	VALUE	Freq(Hz)	GAIN (V/V)	Phase (degree)	GROUP DELAY (s)
R1 (KOhm)	140.00	0.0010	0.0000	179.9973	0.0074
C1 (nF)	220.00	0.0011	0.0000	179.9971	0.0074
FcHPF1 (Hz)	51.67	0.0012	0.0000	179.9968	0.0074
R2 (KOhm)	140.00	0.0013	0.0000	179.9965	0.0074
C2 (nF)	220.00	0.0014	0.0000	179.9963	0.0074
FcHPF2 (Hz)	51.67	0.0015	0.0000	179.9960	0.0074
R3 (KOhm)	0.00	0.0016	0.0000	179.9957	0.0074
C3 (nF)	0.00	0.0017	0.0000	179.9954	0.0074
FcHPF3 (Hz)	0.00	0.0018	0.0000	179.9952	0.0074
R4 (KOhm)	44.00	0.0019	0.0000	179.9949	0.0074
C4 (nF)	22.00	0.0020	0.0000	179.9946	0.0074
R5 (KOhm)	44.00	0.0021	0.0000	179.9944	0.0074
C5(nF)	1.50	0.0022	0.0000	179.9941	0.0074
LPFx2 Fc (Hz)	629.67	0.0023	0.0000	179.9938	0.0074
Q	0.20	0.0024	0.0000	179.9936	0.0074
R6 (KOhm)	1000.00	0.0025	0.0000	179.9933	0.0074
R7 (KOhm)	100.00	0.0026	0.0000	179.9930	0.0074
K (gain)	11.00	0.0027	0.0000	179.9928	0.0074
R8 (KOhm)	0.00	0.0028	0.0000	179.9925	0.0074
C8(nF)	0.00	0.0029	0.0000	179.9922	0.0074
LPFout Fc (Hz)	0.00	0.0030	0.0000	179.9920	0.0074
		0.0031	0.0000	179.9917	0.0074
		0.0032	0.0000	179.9914	0.0074
		0.0033	0.0000	179.9912	0.0074
		0.0034	0.0000	179.9909	0.0074
		0.0035	0.0000	179.9906	0.0074
		0.0036	0.0000	179.9904	0.0074
		0.0037	0.0000	179.9901	0.0074
		0.0038	0.0000	179.9898	0.0074
		0.0039	0.0000	179.9896	0.0074
		0.0040	0.0000	179.9893	0.0074
		0.0041	0.0000	179.9890	0.0074
		0.0042	0.0000	179.9888	0.0074
		0.0043	0.0000	179.9885	0.0074
		0.0044	0.0000	179.9882	0.0074
		0.0045	0.0000	179.9880	0.0074
		0.0046	0.0000	179.9877	0.0074
		0.0047	0.0000	179.9874	0.0074
		0.0048	0.0000	179.9872	0.0074
		0.0049	0.0000	179.9869	0.0074
		0.0050	0.0000	179.9866	0.0074
		0.0051	0.0000	179.9863	0.0074
		0.0052	0.0000	179.9861	0.0074
		0.0053	0.0000	179.9858	0.0074
		0.0054	0.0000	179.9855	0.0074
		0.0055	0.0000	179.9853	0.0074
		0.0056	0.0000	179.9850	0.0074
		0.0057	0.0000	179.9847	0.0074
		0.0058	0.0000	179.9845	0.0074
		0.0059	0.0000	179.9842	0.0074
		0.0060	0.0000	179.9839	0.0074
		0.0061	0.0000	179.9837	0.0074
		0.0062	0.0000	179.9834	0.0074
		0.0063	0.0000	179.9831	0.0074
		0.0064	0.0000	179.9829	0.0074
		0.0065	0.0000	179.9826	0.0074
		0.0066	0.0000	179.9823	0.0074
		0.0067	0.0000	179.9821	0.0074
		0.0068	0.0000	179.9818	0.0074
		0.0069	0.0000	179.9815	0.0074
		0.0070	0.0000	179.9813	0.0074
		0.0071	0.0000	179.9810	0.0074
		0.0072	0.0000	179.9807	0.0074
		0.0073	0.0000	179.9805	0.0074
		0.0074	0.0000	179.9802	0.0074
		0.0075	0.0000	179.9799	0.0074
		0.0076	0.0000	179.9797	0.0074
		0.0077	0.0000	179.9794	0.0074
		0.0078	0.0000	179.9791	0.0074
		0.0079	0.0000	179.9789	0.0074
		0.0080	0.0000	179.9786	0.0074
		0.0081	0.0000	179.9783	0.0074
		0.0082	0.0000	179.9780	0.0074
		0.0083	0.0000	179.9778	0.0074
		0.0084	0.0000	179.9775	0.0074
		0.0085	0.0000	179.9772	0.0074
		0.0086	0.0000	179.9770	0.0074
		0.0087	0.0000	179.9767	0.0074
		0.0088	0.0000	179.9764	0.0074
		0.0089	0.0000	179.9762	0.0074
		0.0090	0.0000	179.9759	0.0074
		0.0091	0.0000	179.9756	0.0074
		0.0092	0.0000	179.9754	0.0074
		0.0093	0.0000	179.9751	0.0074
		0.0094	0.0000	179.9748	0.0074
		0.0095	0.0000	179.9746	0.0074
		0.0096	0.0000	179.9743	0.0074
		0.0097	0.0000	179.9740	0.0074
		0.0098	0.0000	179.9738	0.0074
		0.0099	0.0000	179.9735	0.0074
		0.0100	0.0000	179.9732	0.0074
		0.0110	0.0000	179.9706	0.0074
		0.0120	0.0001	179.9679	0.0074
		0.0130	0.0001	179.9652	0.0074
		0.0140	0.0001	179.9625	0.0074
		0.0150	0.0001	179.9598	0.0074
		0.0160	0.0001	179.9572	0.0074
		0.0170	0.0001	179.9545	0.0074
		0.0180	0.0001	179.9518	0.0074
		0.0190	0.0001	179.9491	0.0074
		0.0200	0.0002	179.9465	0.0074
		0.0210	0.0002	179.9438	0.0074
		0.0220	0.0002	179.9411	0.0074
		0.0230	0.0002	179.9384	0.0074
		0.0240	0.0002	179.9358	0.0074
		0.0250	0.0003	179.9331	0.0074
		0.0260	0.0003	179.9304	0.0074
		0.0270	0.0003	179.9277	0.0074
		0.0280	0.0003	179.9250	0.0074
		0.0290	0.0003	179.9224	0.0074
		0.0300	0.0004	179.9197	0.0074
		0.0310	0.0004	179.9170	0.0074
		0.0320	0.0004	179.9143	0.0074
		0.0330	0.0004	179.9117	0.0074
		0.0340	0.0005	179.9090	0.0074
		0.0350	0.0005	179.9063	0.0074
		0.0360	0.0005	179.9036	0.0074
		0.0370	0.0006	179.9010	0.0074
		0.0380	0.0006	179.8983	0.0074
		0.0390	0.0006	179.8956	0.0074
		0.0400	0.0007	179.8929	0.0074
		0.0410	0.0007	179.8902	0.0074
		0.0420	0.0007	179.8876	0.0074
		0.0430	0.0008	179.8849	0.0074
		0.0440	0.0008	179.8822	0.0074
		0.0450	0.0008	179.8795	0.0074
		0.0460	0.0009	179.8769	0.0074
		0.0470	0.0009	179.8742	0.0074
		0.0480	0.0009	179.8715	0.0074
		0.0490	0.0010	179.8688	0.0074
		0.0500	0.0010	179.8662	0.0074
		0.0510	0.0011	179.8635	0.0074
		0.0520	0.0011	179.8608	0.0074
		0.0530	0.0012	179.8581	0.0074
		0.0540	0.0012	179.8554	0.0074
		0.0550	0.0012	179.8528	0.0074
		0.0560	0.0013	179.8501	0.0074
		0.0570	0.0013	179.8474	0.0074
		0.0580	0.0014	179.8447	0.0074
		0.0590	0.0014	179.8421	0.0074
		0.0600	0.0015	179.8394	0.0074
		0.0610	0.0015	179.8367	0.0074
		0.0620	0.0016	179.8340	0.0074
		0.0630	0.0016	179.8314	0.0074
		0.0640	0.0017	179.8287	0.0074
		0.0650	0.0017	179.8260	0.0074
		0.0660	0.0018	179.8233	0.0074
		0.0670	0.0018	179.8206	0.0074
		0.0680	0.0019	179.8180	0.0074
		0.0690	0.0020	179.8153	0.0074
		0.0700	0.0020	179.8126	0.0074
		0.0710	0.0021	179.8099	0.0074
		0.0720	0.0021	179.8073	0.0074
		0.0730	0.0022	179.8046	0.0074
		0.0740	0.0023	179.8019	0.0074
		0.0750	0.0023	179.7992	0.0074
		0.0760	0.0024	179.7966	0.0074
		0.0770	0.0024	179.7939	0.0074
		0.0780	0.0025	179.7912	0.0074
		0.0790	0.0026	179.7885	0.0074
		0.0800	0.0026	179.7858	0.0074
		0.0810	0.0027	179.7832	0.0074
		0.0820	0.0028	179.7805	0.0074
		0.0830	0.0028	179.7778	0.0074
		0.0840	0.0029	179.7751	0.0074
		0.0850	0.0030	179.7725	0.0074
		0.0860	0.0030	179.7698	0.0074
		0.0870	0.0031	179.7671	0.0074
		0.0880	0.0032	179.7644	0.0074
		0.0890	0.0033	179.7618	0.0074
		0.0900	0.0033	179.7591	0.0074
		0.0910	0.0034	179.7564	0.0074
		0.0920	0.0035	179.7537	0.0074
		0.0930	0.0036	179.7510	0.0074
		0.0940	0.0036	179.7484	0.0074
		0.0950	0.0037	179.7457	0.0074
		0.0960	0.0038	179.7430	0.0074
		0.0970	0.0039	179.7403	0.0074
		0.0980	0.0040	179.7377	0.0074
		0.0990	0.0040	179.7350	0.0074
		0.1000	0.0041	179.7323	0.0074
		0.1100	0.0050	179.7055	0.0074
		0.1200	0.0059	179.6788	0.0074
		0.1300	0.0070	179.6520	0.0074
		0.1400	0.0081	179.6252	0.0074
		0.1500	0.0093	179.5985	0.0074
		0.1600	0.0105	179.5717	0.0074
		0.1700	0.0119	179.5449	0.0074
		0.1800	0.0133	179.5181	0.0074
		0.1900	0.0149	179.4914	0.0074
		0.2000	0.0165	179.4646	0.0074
		0.2100	0.0182	179.4378	0.0074
		0.2200	0.0199	179.4111	0.0074
		0.2300	0.0218	179.3843	0.0074
		0.2400	0.0237	179.3575	0.0074
		0.2500	0.0257	179.3308	0.0074
		0.2600	0.0278	179.3040	0.0074
		0.2700	0.0300	179.2772	0.0074
		0.2800	0.0323	179.2505	0.0074
		0.2900	0.0346	179.2237	0.0074
		0.3000	0.0371	179.1969	0.0074
		0.3100	0.0396	179.1702	0.0074
		0.3200	0.0422	179.1434	0.0074
		0.3300	0.0449	179.1166	0.0074
		0.3400	0.0476	179.0898	0.0074
		0.3500	0.0505	179.0631	0.0074
		0.3600	0.0534	179.0363	0.0074
		0.3700	0.0564	179.0095	0.0074
		0.3800	0.0595	178.9828	0.0074
		0.3900	0.0627	178.9560	0.0074
		0.4000	0.0659	178.9292	0.0074
		0.4100	0.0692	178.9025	0.0074
		0.4200	0.0727	178.8757	0.0074
		0.4300	0.0762	178.8489	0.0074
		0.4400	0.0797	178.8222	0.0074
		0.4500	0.0834	178.7954	0.0074
		0.4600	0.0872	178.7686	0.0074
		0.4700	0.0910	178.7419	0.0074
		0.4800	0.0949	178.7151	0.0074
		0.4900	0.0989	178.6883	0.0074
		0.5000	0.1030	178.6616	0.0074
		0.5100	0.1071	178.6348	0.0074
		0.5200	0.1114	178.6080	0.0074
		0.5300	0.1157	178.5813	0.0074
		0.5400	0.1201	178.5545	0.0074
		0.5500	0.1246	178.5277	0.0074
		0.5600	0.1292	178.5010	0.0074
		0.5700	0.1338	178.4742	0.0074
		0.5800	0.1386	178.4474	0.0074
		0.5900	0.1434	178.4207	0.0074
		0.6000	0.1483	178.3939	0.0074
		0.6100	0.1533	178.3671	0.0074
		0.6200	0.1583	178.3404	0.0074
		0.6300	0.1635	178.3136	0.0074
		0.6400	0.1687	178.2868	0.0074
		0.6500	0.1740	178.2601	0.0074
		0.6600	0.1794	178.2333	0.0074
		0.6700	0.1849	178.2065	0.0074
		0.6800	0.1905	178.1798	0.0074
		0.6900	0.1961	178.1530	0.0074
		0.7000	0.2018	178.1262	0.0074
		0.7100	0.2076	178.0995	0.0074
		0.7200	0.2135	178.0727	0.0074
		0.7300	0.2195	178.0459	0.0074
		0.7400	0.2255	178.0192	0.0074
		0.7500	0.2317	177.9924	0.0074
		0.7600	0.2379	177.9656	0.0074
		0.7700	0.2442	177.9389	0.0074
		0.7800	0.2506	177.9121	0.0074
		0.7900	0.2570	177.8853	0.0074
		0.8000	0.2636	177.8586	0.0074
		0.8100	0.2702	177.8318	0.0074
		0.8200	0.2769	177.8051	0.0074
		0.8300	0.2837	177.7783	0.0074
		0.8400	0.2906	177.7515	0.0074
		0.8500	0.2976	177.7248	0.0074
		0.8600	0.3046	177.6980	0.0074
		0.8700	0.3117	177.6712	0.0074
		0.8800	0.3189	177.6445	0.0074
		0.8900	0.3262	177.6177	0.0074
		0.9000	0.3336	177.5909	0.0074
		0.9100	0.3410	177.5642	0.0074
		0.9200	0.3486	177.5374	0.0074
		0.9300	0.3562	177.5107	0.0074
		0.9400	0.3639	177.4839	0.0074
		0.9500	0.3717	177.4571	0.0074
		0.9600	0.3795	177.4304	0.0074
		0.9700	0.3875	177.4036	0.0074
		0.9800	0.3955	177.3768	0.0074
		0.9900	0.4036	177.3501	0.0074
		1.0000	0.4118	177.3233	0.0074
		1.1000	0.4982	177.0557	0.0074
		1.2000	0.5929	176.7881	0.0074
		1.3000	0.6957	176.5206	0.0074
		1.4000	0.8068	176.2530	0.0074
		1.5000	0.9261	175.9855	0.0074
		1.6000	1.0535	175.7180	0.0074
		1.7000	1.1892	175.4506	0.0074
		1.8000	1.3330	175.1831	0.0074
		1.9000	1.4850	174.9157	0.0074
		2.0000	1.6452	174.6484	0.0074
		2.1000	1.8135	174.3810	0.0074
		2.2000	1.9900	174.1137	0.0074
		2.3000	2.1746	173.8465	0.0074
		2.4000	2.3674	173.5792	0.0074
		2.5000	2.5683	173.3121	0.0074
		2.6000	2.7773	173.0449	0.0074
		2.7000	2.9944	172.7778	0.0074
