PART	VALUE	Freq(Hz)	GAIN (V/V)	Phase (degree)	GROUP DELAY (s)
R1 (KOhm)	62.00	0.0010	0.0000	179.9987	0.0037
C1 (nF)	220.00	0.0011	0.0000	179.9986	0.0037
FcHPF1 (Hz)	116.68	0.0012	0.0000	179.9984	0.0037
R2 (KOhm)	62.00	0.0013	0.0000	179.9983	0.0037
C2 (nF)	220.00	0.0014	0.0000	179.9982	0.0037
FcHPF2 (Hz)	116.68	0.0015	0.0000	179.9980	0.0037
R3 (KOhm)	0.00	0.0016	0.0000	179.9979	0.0037
C3 (nF)	0.00	0.0017	0.0000	179.9978	0.0037
FcHPF3 (Hz)	0.00	0.0018	0.0000	179.9976	0.0037
R4 (KOhm)	44.00	0.0019	0.0000	179.9975	0.0037
C4 (nF)	18.00	0.0020	0.0000	179.9974	0.0037
R5 (KOhm)	44.00	0.0021	0.0000	179.9972	0.0037
C5(nF)	1.50	0.0022	0.0000	179.9971	0.0037
LPFx2 Fc (Hz)	696.12	0.0023	0.0000	179.9970	0.0037
Q	0.25	0.0024	0.0000	179.9968	0.0037
R6 (KOhm)	1000.00	0.0025	0.0000	179.9967	0.0037
R7 (KOhm)	100.00	0.0026	0.0000	179.9966	0.0037
K (gain)	11.00	0.0027	0.0000	179.9965	0.0037
R8 (KOhm)	0.00	0.0028	0.0000	179.9963	0.0037
C8(nF)	0.00	0.0029	0.0000	179.9962	0.0037
LPFout Fc (Hz)	0.00	0.0030	0.0000	179.9961	0.0037
		0.0031	0.0000	179.9959	0.0037
		0.0032	0.0000	179.9958	0.0037
		0.0033	0.0000	179.9957	0.0037
		0.0034	0.0000	179.9955	0.0037
		0.0035	0.0000	179.9954	0.0037
		0.0036	0.0000	179.9953	0.0037
		0.0037	0.0000	179.9951	0.0037
		0.0038	0.0000	179.9950	0.0037
		0.0039	0.0000	179.9949	0.0037
		0.0040	0.0000	179.9947	0.0037
		0.0041	0.0000	179.9946	0.0037
		0.0042	0.0000	179.9945	0.0037
		0.0043	0.0000	179.9943	0.0037
		0.0044	0.0000	179.9942	0.0037
		0.0045	0.0000	179.9941	0.0037
		0.0046	0.0000	179.9940	0.0037
		0.0047	0.0000	179.9938	0.0037
		0.0048	0.0000	179.9937	0.0037
		0.0049	0.0000	179.9936	0.0037
		0.0050	0.0000	179.9934	0.0037
		0.0051	0.0000	179.9933	0.0037
		0.0052	0.0000	179.9932	0.0037
		0.0053	0.0000	179.9930	0.0037
		0.0054	0.0000	179.9929	0.0037
		0.0055	0.0000	179.9928	0.0037
		0.0056	0.0000	179.9926	0.0037
		0.0057	0.0000	179.9925	0.0037
		0.0058	0.0000	179.9924	0.0037
		0.0059	0.0000	179.9922	0.0037
		0.0060	0.0000	179.9921	0.0037
		0.0061	0.0000	179.9920	0.0037
		0.0062	0.0000	179.9918	0.0037
		0.0063	0.0000	179.9917	0.0037
		0.0064	0.0000	179.9916	0.0037
		0.0065	0.0000	179.9915	0.0037
		0.0066	0.0000	179.9913	0.0037
		0.0067	0.0000	179.9912	0.0037
		0.0068	0.0000	179.9911	0.0037
		0.0069	0.0000	179.9909	0.0037
		0.0070	0.0000	179.9908	0.0037
		0.0071	0.0000	179.9907	0.0037
		0.0072	0.0000	179.9905	0.0037
		0.0073	0.0000	179.9904	0.0037
		0.0074	0.0000	179.9903	0.0037
		0.0075	0.0000	179.9901	0.0037
		0.0076	0.0000	179.9900	0.0037
		0.0077	0.0000	179.9899	0.0037
		0.0078	0.0000	179.9897	0.0037
		0.0079	0.0000	179.9896	0.0037
		0.0080	0.0000	179.9895	0.0037
		0.0081	0.0000	179.9894	0.0037
		0.0082	0.0000	179.9892	0.0037
		0.0083	0.0000	179.9891	0.0037
		0.0084	0.0000	179.9890	0.0037
		0.0085	0.0000	179.9888	0.0037
		0.0086	0.0000	179.9887	0.0037
		0.0087	0.0000	179.9886	0.0037
		0.0088	0.0000	179.9884	0.0037
		0.0089	0.0000	179.9883	0.0037
		0.0090	0.0000	179.9882	0.0037
		0.0091	0.0000	179.9880	0.0037
		0.0092	0.0000	179.9879	0.0037
		0.0093	0.0000	179.9878	0.0037
		0.0094	0.0000	179.9876	0.0037
		0.0095	0.0000	179.9875	0.0037
		0.0096	0.0000	179.9874	0.0037
		0.0097	0.0000	179.9872	0.0037
		0.0098	0.0000	179.9871	0.0037
		0.0099	0.0000	179.9870	0.0037
		0.0100	0.0000	179.9869	0.0037
		0.0110	0.0000	179.9855	0.0037
		0.0120	0.0000	179.9842	0.0037
		0.0130	0.0000	179.9829	0.0037
		0.0140	0.0000	179.9816	0.0037
		0.0150	0.0000	179.9803	0.0037
		0.0160	0.0000	179.9790	0.0037
		0.0170	0.0000	179.9776	0.0037
		0.0180	0.0000	179.9763	0.0037
		0.0190	0.0000	179.9750	0.0037
		0.0200	0.0000	179.9737	0.0037
		0.0210	0.0000	179.9724	0.0037
		0.0220	0.0000	179.9711	0.0037
		0.0230	0.0000	179.9698	0.0037
		0.0240	0.0000	179.9684	0.0037
		0.0250	0.0001	179.9671	0.0037
		0.0260	0.0001	179.9658	0.0037
		0.0270	0.0001	179.9645	0.0037
		0.0280	0.0001	179.9632	0.0037
		0.0290	0.0001	179.9619	0.0037
		0.0300	0.0001	179.9606	0.0037
		0.0310	0.0001	179.9592	0.0037
		0.0320	0.0001	179.9579	0.0037
		0.0330	0.0001	179.9566	0.0037
		0.0340	0.0001	179.9553	0.0037
		0.0350	0.0001	179.9540	0.0037
		0.0360	0.0001	179.9527	0.0037
		0.0370	0.0001	179.9514	0.0037
		0.0380	0.0001	179.9500	0.0037
		0.0390	0.0001	179.9487	0.0037
		0.0400	0.0001	179.9474	0.0037
		0.0410	0.0001	179.9461	0.0037
		0.0420	0.0001	179.9448	0.0037
		0.0430	0.0001	179.9435	0.0037
		0.0440	0.0002	179.9422	0.0037
		0.0450	0.0002	179.9408	0.0037
		0.0460	0.0002	179.9395	0.0037
		0.0470	0.0002	179.9382	0.0037
		0.0480	0.0002	179.9369	0.0037
		0.0490	0.0002	179.9356	0.0037
		0.0500	0.0002	179.9343	0.0037
		0.0510	0.0002	179.9329	0.0037
		0.0520	0.0002	179.9316	0.0037
		0.0530	0.0002	179.9303	0.0037
		0.0540	0.0002	179.9290	0.0037
		0.0550	0.0002	179.9277	0.0037
		0.0560	0.0003	179.9264	0.0037
		0.0570	0.0003	179.9251	0.0037
		0.0580	0.0003	179.9237	0.0037
		0.0590	0.0003	179.9224	0.0037
		0.0600	0.0003	179.9211	0.0037
		0.0610	0.0003	179.9198	0.0037
		0.0620	0.0003	179.9185	0.0037
		0.0630	0.0003	179.9172	0.0037
		0.0640	0.0003	179.9159	0.0037
		0.0650	0.0003	179.9145	0.0037
		0.0660	0.0004	179.9132	0.0037
		0.0670	0.0004	179.9119	0.0037
		0.0680	0.0004	179.9106	0.0037
		0.0690	0.0004	179.9093	0.0037
		0.0700	0.0004	179.9080	0.0037
		0.0710	0.0004	179.9067	0.0037
		0.0720	0.0004	179.9053	0.0037
		0.0730	0.0004	179.9040	0.0037
